,IT0004053440,IT0003850929,IT0005453250,IT0005411209,IT0005482333,IT0005527616,IT0004712375,IT0005186371,IT0004729759,IT0005331019,IT0003073266,FR0000075442,FR0014005HJ9,FR0014008VX5,FR0010221234,FR0013153541,FR0011950732,FR0000071946,Total
2024-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.4299999999999997
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.4299999999999997
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.4299999999999997
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.4299999999999997
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.4299999999999997
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.4299999999999997
2024-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.4299999999999997
2024-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.4299999999999997
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.4299999999999997
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.49,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.92
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.49,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.92
2024-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.49,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.92
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.49,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.62,3.92
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.49,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.52,3.82
2024-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.49,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.52,3.82
2024-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.49,0.59,0.61,0.0,0.0,0.0,0.0,0.0,0.8,0.52,3.82
2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.49,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,3.2
2024-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,3.21
2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,3.21
2024-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.78,0.0,3.1900000000000004
2024-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.5100000000000002
2024-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.5100000000000002
2024-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.46,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.97
2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.46,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.87
2024-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.46,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37
2024-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.46,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.46,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27
2024-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.46,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27
2024-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.46,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27
2024-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.46,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27
2024-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.59,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
2024-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.59,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
2024-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.59,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32
2024-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2199999999999998
2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2199999999999998
2024-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2199999999999998
2024-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2199999999999998
2024-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
2024-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.97
2024-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.97
2024-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.97
2024-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.97
2024-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,2.07
2024-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.6999999999999997
2024-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.6999999999999997
2024-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.6
2024-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.6
2024-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.6
2024-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.6
2024-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.6
2024-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.17
2024-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.59
2024-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.59
2024-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.59
2024-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.59
2024-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.59
2024-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.59
2024-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.59
2024-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.59
2024-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.67
2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.98
2024-08-19,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-18,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-17,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-16,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-15,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-14,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-13,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-12,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-11,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-10,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-09,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-08,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-07,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-06,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-05,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-04,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,2.94
2024-08-03,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.63
2024-08-02,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.63
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.63
2024-07-31,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-30,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-29,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-28,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-27,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-26,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-25,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-24,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-23,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-22,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-21,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-20,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-19,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-18,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-17,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
2024-07-15,0.0,0.0,0.0,0.0,0.0,0.96,0.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.13
