,20FULDKQMC7ZL80LYR79,549300EJ1ZB4YYIOMD56,6BS8JLEICI3VGJ264L55,549300ARVD4LVNCUBN81,Q0HK1ORK3JOMOF7R6K47,549300SHI4D0QGWI8X45,213800CWAHHW6YYZII58,549300KKLDTNOIW0NU52,549300DCU7KOL83B3B08,254900TFNO6U9PBDZJ82,549300X1IL2SQS14P736,RQTOM0CI0L1JQEIRRN40,549300WBD0DQZRTLVD96,Total,Market_capitalization
2025-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.59,253500000.0
2025-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.09,0.0,0.0,0.0,0.0,1.6800000000000002,253500000.0
2025-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.17,0.0,0.0,0.0,0.0,1.7599999999999998,253500000.0
2025-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.17,0.0,0.0,0.0,0.0,1.7599999999999998,253500000.0
2025-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.17,0.0,0.0,0.0,0.0,1.7599999999999998,253500000.0
2025-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.17,0.0,0.0,0.0,0.0,1.7599999999999998,253500000.0
2025-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.17,0.0,0.0,0.0,0.0,1.7599999999999998,253500000.0
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.17,0.0,0.0,0.0,0.0,1.7599999999999998,253500000.0
2025-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.17,0.0,0.0,0.0,0.0,1.7599999999999998,253500000.0
2025-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.17,0.0,0.0,0.0,0.0,1.7599999999999998,253500000.0
2025-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.17,0.0,0.0,0.0,0.0,1.8599999999999999,253500000.0
2025-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2025-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2025-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2025-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2025-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2025-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2025-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2025-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2025-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2025-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2025-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2025-01-28,0.0,0.0,0.0,0.49,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.38,253500000.0
2025-01-27,0.0,0.0,0.0,0.49,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.38,253500000.0
2025-01-26,0.0,0.0,0.0,0.49,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.38,253500000.0
2025-01-25,0.0,0.0,0.0,0.49,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.38,253500000.0
2025-01-24,0.0,0.0,0.0,0.49,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.38,253500000.0
2025-01-23,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-22,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-21,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-20,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-19,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-18,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-17,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-16,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-15,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-14,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-13,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-12,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-11,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-10,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4799999999999995,253500000.0
2025-01-09,0.0,0.0,0.0,0.69,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,2.57,253500000.0
2025-01-08,0.0,0.0,0.0,0.69,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.58,253500000.0
2025-01-07,0.0,0.0,0.0,0.69,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.58,253500000.0
2025-01-06,0.0,0.0,0.0,0.69,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.58,253500000.0
2025-01-05,0.0,0.0,0.0,0.69,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.58,253500000.0
2025-01-04,0.0,0.0,0.0,0.69,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.58,253500000.0
2025-01-03,0.0,0.0,0.0,0.69,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.58,253500000.0
2025-01-02,0.0,0.0,0.0,0.71,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5999999999999996,253500000.0
2025-01-01,0.0,0.0,0.0,0.71,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5999999999999996,253500000.0
2024-12-31,0.0,0.0,0.0,0.71,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5999999999999996,253500000.0
2024-12-30,0.0,0.0,0.0,0.71,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5999999999999996,253500000.0
2024-12-29,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-28,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-27,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-26,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-25,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-24,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-23,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-22,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-21,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-20,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-19,0.0,0.0,0.0,0.61,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-12-18,0.0,0.0,0.0,0.51,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4,253500000.0
2024-12-17,0.0,0.0,0.0,0.51,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4,253500000.0
2024-12-16,0.0,0.0,0.0,0.51,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4,253500000.0
2024-12-15,0.0,0.0,0.0,0.51,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4,253500000.0
2024-12-14,0.0,0.0,0.0,0.51,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4,253500000.0
2024-12-13,0.0,0.0,0.0,0.51,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,2.4,253500000.0
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.2,0.0,0.0,0.0,0.0,1.89,253500000.0
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.19,0.0,0.0,0.0,0.0,1.88,253500000.0
2024-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,1.19,0.0,0.0,0.0,0.0,1.98,253500000.0
2024-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,1.19,0.0,0.0,0.0,0.0,1.98,253500000.0
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,1.19,0.0,0.0,0.0,0.0,1.98,253500000.0
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,1.19,0.0,0.0,0.0,0.0,1.98,253500000.0
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,1.19,0.0,0.0,0.0,0.0,1.98,253500000.0
2024-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,1.19,0.0,0.0,0.0,0.0,1.98,253500000.0
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,1.19,0.0,0.0,0.0,0.0,1.98,253500000.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,1.19,253500000.0
2024-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,1.19,253500000.0
2024-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,1.19,253500000.0
2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,1.19,253500000.0
2024-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,1.19,253500000.0
2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,1.19,253500000.0
2024-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,1.19,253500000.0
2024-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,1.19,253500000.0
2024-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.01,253500000.0
2024-11-01,0.0,0.0,0.49,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.5,253500000.0
2024-10-31,0.0,0.0,0.49,0.0,0.0,0.0,0.82,0.0,1.19,0.0,0.0,0.0,0.0,2.5,253500000.0
